Page 1: a detailed scan of a manga panel showing how it looks like with dominant gray, pink and green colors
Page 2: a detailed scan of a manga panel showing a man and a woman sitting on a bed with dominant gray, pink and green colors
Page 3: a detailed scan of a manga panel showing a man and a woman standing next to each other with dominant gray, purple and pink colors
Page 4: a detailed scan of a manga panel showing a woman ' s face in the water with dominant gray, pink and green colors
Page 5: a detailed scan of a manga panel showing the various stages of the scene with dominant gray, pink and green colors
Page 6: a detailed scan of a manga panel showing a man and a dragon with dominant gray, pink and brown colors
Page 7: a detailed scan of a manga panel showing how to use the sword with dominant gray, pink and green colors
Page 8: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 9: a detailed scan of a manga panel showing a man sitting on a bench with dominant gray, pink and green colors
Page 10: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray and green colors
Page 11: a detailed scan of a manga panel showing a man and a woman in the water with dominant gray, pink and green colors
Page 12: a detailed scan of a manga panel showing a man and a woman with dominant gray, pink and green colors
Page 13: a detailed scan of a manga panel showing a person riding a skateboard with dominant green, orange and gray colors
Page 14: a detailed scan of a manga panel showing an explosion of fire with dominant green, orange and gray colors
Page 15: a detailed scan of a manga panel showing a man on a skateboard with dominant gray, purple and pink colors
Page 16: a detailed scan of a manga panel showing a man and a woman in the water with dominant gray, pink and green colors
Page 17: a detailed scan of a manga panel showing a man and a woman in a car with dominant gray, pink and purple colors
Page 18: a detailed scan of a manga panel showing a man holding a sword with dominant gray, pink and green colors
Page 19: a detailed scan of a manga panel showing a man holding a gun with dominant gray, pink and green colors
Page 20: a detailed scan of a manga panel showing a plane flying over a body of water with dominant gray, pink and green colors
Page 21: a detailed scan of a manga panel showing a man on a surfboard in the middle of the ocean with dominant gray, pink and green colors
Page 22: a detailed scan of a manga panel showing a man and a woman with dominant gray, pink and green colors
Page 23: a detailed scan of a manga panel showing a woman swimming in the ocean with dominant gray, pink and green colors
Page 24: a detailed scan of a manga panel showing a man laying on the ground with dominant gray, pink and green colors
Page 25: a detailed scan of a manga panel showing a man and a woman staring at each other with dominant gray, pink and green colors
Page 26: a detailed scan of a manga panel showing the title for solo leveling with dominant gray, pink and green colors
